32208	#sing_sing	htothec93	MagE LUL	5005	1491083440364
32209	#sing_sing	dota2theanimatedseries	its not offensive if singsing says it haHAA	5022	1491083449516
32210	#sing_sing	cagripicim	3 MERLINIS	5005	1491083450133
32211	#sing_sing	lester840	TA	5005	1491083450295
32212	#sing_sing	qzrr69	Dager buy	5022	1491083450584
32213	#sing_sing	kerio92	LUL	5005	1491083457291
32214	#sing_sing	lickmycrit99	OUTPLAYED	5022	1491083457757
32215	#sing_sing	sofakingbased	so close	5005	1491083457952
32216	#sing_sing	vronjahmix	LUL	5022	1491083461078
32217	#sing_sing	spreaction	7hp	5022	1491083466075
32218	#sing_sing	pocket_turk	ariW	5005	1491083466173
32219	#sing_sing	the_agg	lul	5022	1491083466299
32220	#sing_sing	gatordile	LUL	5022	1491083469463
32221	#sing_sing	bliiind	lul	5022	1491083469569
32222	#sing_sing	steve_zombie	LUL	5022	1491083471899
32223	#sing_sing	htothec93	its a gg	5005	1491083471997
32224	#sing_sing	dreamyyyyyyyyy	4Head	5022	1491083472100
32225	#sing_sing	chapaika	Kapa	5022	1491083472208
32226	#sing_sing	daflyindutchman	omgggg	5022	1491083472312
32227	#sing_sing	kerio92	EZ LUL	5005	1491083472424
32228	#sing_sing	borisgump	LUL	5022	1491083478566
32229	#sing_sing	typeyournickname	i get offended on twitch chat haHAA	5022	1491083478695
32230	#sing_sing	ebinman6969	SING GOD PogChamp	5022	1491083478995
32231	#sing_sing	just_ogre	LUL	5022	1491083479329
32232	#sing_sing	cashprizemonies	7hp	5022	1491083479862
32233	#sing_sing	szyp	JUST FAILS LUL	5005	1491083479956
32234	#sing_sing	qzrr69	ult?	5005	1491083480059
32235	#sing_sing	21sudelnuppe02	OUTPLAYED	5022	1491083480202
32236	#sing_sing	spookyspectralsequences	LMAO	5022	1491083480329
32237	#sing_sing	lawdjaraxxus	8k huh	5005	1491083480428
32238	#sing_sing	undermind	7	5005	1491083480509
32239	#sing_sing	mamamiomima	LUL	5022	1491083480590
32240	#sing_sing	tychustran	lul	5005	1491083480672
32241	#sing_sing	sofakingbased	2000-02-02	5022	1491083480749
32242	#sing_sing	rorrun	LUL	5005	1491083480828
32243	#sing_sing	moobrub	Kappa	5022	1491083480902
32244	#sing_sing	holden_caulfield_ua	he could have killed him wtf ?	5005	1491083480985
32245	#sing_sing	vandroidd	LUL	5022	1491083486389
32246	#sing_sing	hjum	tower and sf solo kill	5022	1491083489432
32247	#sing_sing	spookyspectralsequences	worst sf na	5022	1491083489518
32248	#sing_sing	slachter1980	0-2-1 lets turn in around or feed enemy rampage :D	5022	1491083491845
32249	#sing_sing	hjum	that jugg must feel pretty goo	5022	1491083491938
32250	#sing_sing	roelypopper	sing sing SF LUL	5044	1491083494226
32251	#sing_sing	mcdracula94	D:	5044	1491083496350
32252	#sing_sing	daicaxomlieu	PogChamp	5044	1491083496436
32253	#sing_sing	qzrr69	Ultimate lul sf	5022	1491083496672
32254	#sing_sing	plebc	noob sing	5044	1491083497263
32255	#sing_sing	jeb8ed	This is very impressive gameplay and not at all 2k :)	5022	1491083497472
32256	#sing_sing	slachter1980	feed enemy rampage = nicer for viewers	5022	1491083497643
32257	#sing_sing	lester840	LUL	5022	1491083497772
32258	#sing_sing	waldhonig	protection was up too	5044	1491083497871
32259	#sing_sing	goespr	CS TOWER N KILL LUL	5022	1491083497972
32260	#sing_sing	dreamyyyyyyyyy	BlessRNG	5022	1491083498072
32261	#sing_sing	maximque008	BlessRNG	5022	1491083498252
32262	#sing_sing	doteirox	Sung Sung pussy LUL	0	1491083506582
32263	#sing_sing	tychustran	carried	5022	1491083506697
32264	#sing_sing	saint516	BlessRNG	5022	1491083506784
32265	#sing_sing	rkensin	thats because u are black	5022	1491083506891
32266	#sing_sing	znkrxtw	LUL	5022	1491083507437
32267	#sing_sing	steve_zombie	I GOOGLED SINGSING SF WutFace	5044	1491083508201
32268	#sing_sing	hikayami	tuturu TehePelo	5022	1491083508448
32269	#sing_sing	spookyspectralsequences	PraiseIt	5044	1491083514325
32270	#sing_sing	htothec93	what if u just channel ulti during omnislash dude	5044	1491083514403
32271	#sing_sing	the_agg	\Why the fuck did you try to run away @Sing_sing	5022	1491083514485
32272	#sing_sing	sircritters	i dont understand why you werent hitting him when he was under tower... you just sat there for like 4 seconds doing nothing	5044	1491083516612
